Date,Actual Trading Date,Event,Strategy,State,Asset,Portfolio,Drawdown,RVol,VR,SPY vs 200 SMA,Credit,RVol > QLD,VR > QLD,SPY Breakdown,Credit Crisis,Donchian Break,Donchian Confirmed,State Changed,Transition Reasons,TQQQ Close,QLD Close,QQQ Close,Checkpoint Return
2000-03-27,2000-03-27,Dot-com peak,A-RVol v3 (NASDAQ 2-State Cash),DEFENSIVE,CASH,3682023.368754006,0.0,0.45943480176615736,1.267985764374232,0.11022538583421482,,True,True,False,False,False,False,False,,,,,
2002-10-04,2002-10-04,Dot-com max drawdown,A-RVol v3 (NASDAQ 2-State Cash),DEFENSIVE,CASH,2665510.337385867,-0.3486509734430929,0.4078998197666622,0.9630453401945935,-0.21317247549173735,,True,False,True,False,True,True,False,,,,,-0.27607457356038634
2007-10-31,2007-10-31,Pre-GFC peak,A-RVol v3 (NASDAQ 2-State Cash),DEFENSIVE,CASH,10753700.78536373,0.0,0.2193398220474209,1.4773372234044226,0.05091415492721718,-0.008152192884588683,True,True,False,False,False,False,False,,,,,3.0343871995297365
2008-11-20,2008-11-20,GFC drawdown #1,A-RVol v3 (NASDAQ 2-State Cash),DEFENSIVE,CASH,11820710.628896877,0.0,0.5475105261252391,1.7132206390338158,-0.39048290952399867,-0.1282004998942159,True,True,True,True,True,True,False,,,,,0.09922257135751766
2009-03-09,2009-03-09,GFC maximum drawdown,A-RVol v3 (NASDAQ 2-State Cash),DEFENSIVE,CASH,11820710.628896877,0.0,0.34248479563690964,0.920458006908703,-0.3511533266013387,-0.08863186369373954,True,False,True,True,True,True,False,,,,,0.0
2021-11-19,2021-11-19,Pre-2022 peak,A-RVol v3 (NASDAQ 2-State Cash),AGGRESSIVE,TQQQ,7177386660.828216,0.0,0.11548606534257817,0.7176053528741864,0.10422114522318449,-0.007775225404536346,False,False,False,False,False,False,False,,,,,606.1874091293967
2022-12-28,2022-12-28,2022 drawdown,A-RVol v3 (NASDAQ 2-State Cash),DEFENSIVE,CASH,6001285299.465594,-0.1638620596799376,0.2239936768660955,0.7092824771713787,-0.051128135694823884,-0.012156918204031975,True,False,True,False,False,False,False,,,,,-0.1638620596799376
2024-12-16,2024-12-16,Pre-tariff peak,A-RVol v3 (NASDAQ 2-State Cash),AGGRESSIVE,TQQQ,32374151684.650047,0.0,0.1321560994901694,0.7880714768139414,0.10761585610680013,-0.0003205732732888267,False,False,False,False,False,False,False,,,,,4.394536348327402
2025-04-08,2025-04-08,Tariff drawdown,A-RVol v3 (NASDAQ 2-State Cash),DEFENSIVE,CASH,31695372263.378174,-0.0962755883254015,0.38552157385838437,2.029839162315916,-0.1299527002256654,-0.014212886839980232,True,True,True,False,True,True,False,,,,,-0.020966709116696736
2025-10-29,2025-10-29,Pre-Iran-war peak,A-RVol v3 (NASDAQ 2-State Cash),MODERATE,TQQQ,60554110537.66164,0.0,0.21482579791223508,1.0764279926937526,0.13473523391397113,-0.006980501070496525,True,False,False,False,False,False,False,,,,,0.9105032127238257
