Strategy,Period,Start Date,End Date,Starting Equity,Ending Equity,Total Return,CAGR,Max Drawdown,Trades
A-RVol v3 (NASDAQ),FULL,1993-01-29,2026-08-14,100000.0,3310453305.6696596,33103.53305669659,0.3638494741285576,-0.5969668340543194,
A-RVol v3 (NASDAQ),EARLY,1993-01-29,2004-12-31,100000.0,1612459.7051119208,15.12459705111921,0.2626828545749311,-0.5331423216110651,
A-RVol v3 (NASDAQ),MODERN,2005-01-03,2026-08-14,1559519.9884507293,3310453305.6696596,2121.7386184119105,0.425452457810511,-0.5969668340543194,
A-RVol v3 (NASDAQ),POST_GFC,2010-01-04,2026-08-14,3238857.2265540846,3310453305.6696596,1021.1053520138485,0.5177831995927942,-0.3155161209489732,
A-RVol v3 (NASDAQ 2-State),FULL,1993-01-29,2026-08-14,100000.0,55452695774.17246,554525.9577417247,0.4834150256561389,-0.5985122900829565,
A-RVol v3 (NASDAQ 2-State),EARLY,1993-01-29,2004-12-31,100000.0,4449328.313851884,43.493283138518834,0.37490518252422644,-0.5985122900829565,
A-RVol v3 (NASDAQ 2-State),MODERN,2005-01-03,2026-08-14,4303249.512923593,55452695774.17246,12885.237622902408,0.5495187255960186,-0.5828646902266928,
A-RVol v3 (NASDAQ 2-State),POST_GFC,2010-01-04,2026-08-14,13801601.453674838,55452695774.17246,4016.845027644059,0.6481852329368187,-0.373619195746537,
A-RVol v3 (NASDAQ Cash Defensive),FULL,1993-01-29,2026-08-14,100000.0,3789067813.6258016,37889.678136258015,0.36935173505751484,-0.41505306150991217,
A-RVol v3 (NASDAQ Cash Defensive),EARLY,1993-01-29,2004-12-31,100000.0,2473514.162077173,23.73514162077173,0.30882892971265163,-0.30909310061127193,
A-RVol v3 (NASDAQ Cash Defensive),MODERN,2005-01-03,2026-08-14,2392304.604726578,3789067813.6258016,1582.8567572622562,0.40626585201294163,-0.39057133932187005,
A-RVol v3 (NASDAQ Cash Defensive),POST_GFC,2010-01-04,2026-08-14,6742321.573118308,3789067813.6258016,560.98266020607,0.46409120924857183,-0.3155161209489734,
A-RVol v3 (NASDAQ QQQ Moderate),FULL,1993-01-29,2026-08-14,100000.0,173273261.84072748,1731.7326184072747,0.24901334177900525,-0.6066677206514047,
A-RVol v3 (NASDAQ QQQ Moderate),EARLY,1993-01-29,2004-12-31,100000.0,547906.8172464516,4.479068172464516,0.1533706817085605,-0.46018590262889414,
A-RVol v3 (NASDAQ QQQ Moderate),MODERN,2005-01-03,2026-08-14,529918.1310363059,173273261.84072748,325.98119141889885,0.3072540477489605,-0.6066677206514047,
A-RVol v3 (NASDAQ QQQ Moderate),POST_GFC,2010-01-04,2026-08-14,716702.4970713692,173273261.84072748,240.76455718902417,0.3915871571549021,-0.2922463434651065,
A-RVol v3 (Semiconductors),FULL,2010-03-11,2026-08-19,100000.0,10093237.900141511,99.93237900141511,0.3240176639330332,-0.5239995992711577,
A-RVol v3 (Semiconductors),EARLY,,,,,,,,
A-RVol v3 (Semiconductors),MODERN,2010-03-11,2026-08-19,100000.0,10093237.900141511,99.93237900141511,0.3240176639330332,-0.5239995992711577,
A-RVol v3 (Semiconductors),POST_GFC,2010-03-11,2026-08-19,100000.0,10093237.900141511,99.93237900141511,0.3240176639330332,-0.5239995992711577,
A-RVol v3 (S&P 500),FULL,2009-06-25,2026-08-14,100000.0,11225218.971133789,111.25218971133789,0.3171677907461723,-0.39257115666577824,
A-RVol v3 (S&P 500),EARLY,,,,,,,,
A-RVol v3 (S&P 500),MODERN,2009-06-25,2026-08-14,100000.0,11225218.971133789,111.25218971133789,0.3171677907461723,-0.39257115666577824,
A-RVol v3 (S&P 500),POST_GFC,2010-01-04,2026-08-14,149118.79138702046,11225218.971133789,74.27702489218841,0.29717580383676934,-0.39257115666577824,
A-RVol v3 (NASDAQ 2-State Cash),FULL,1993-01-29,2026-08-14,100000.0,55289322352.58609,552892.2235258609,0.4832845297196948,-0.44313404899708786,
A-RVol v3 (NASDAQ 2-State Cash),EARLY,1993-01-29,2004-12-31,100000.0,6142996.718709229,60.42996718709229,0.41261665422360827,-0.4014636025037137,
A-RVol v3 (NASDAQ 2-State Cash),MODERN,2005-01-03,2026-08-14,5941311.985312109,55289322352.58609,9304.911301959955,0.5263531771555212,-0.4198275974005995,
A-RVol v3 (NASDAQ 2-State Cash),POST_GFC,2010-01-04,2026-08-14,25614243.523267884,55289322352.58609,2157.538170466033,0.5876641150778421,-0.3896638352378373,
A-RVol v3 (NASDAQ 2-State SQQQ),FULL,1993-01-29,2026-08-14,100000.0,52415733.17248566,523.1573317248566,0.20527002825691065,-0.9526733500277831,
A-RVol v3 (NASDAQ 2-State SQQQ),EARLY,1993-01-29,2004-12-31,100000.0,102462.91911921493,0.024629191192149236,0.002043154288226434,-0.9526733500277831,
A-RVol v3 (NASDAQ 2-State SQQQ),MODERN,2005-01-03,2026-08-14,99098.89216756263,52415733.17248566,527.9235028365185,0.33667398759956546,-0.8098041370188241,
A-RVol v3 (NASDAQ 2-State SQQQ),POST_GFC,2010-01-04,2026-08-14,439264.5386980133,52415733.17248566,118.32612026421864,0.3336619825250211,-0.6900483323479147,
