Strategy,Date,Signal,State,Asset,Equity,RVol,VR,SPY vs 200 SMA,Credit,Transition Reasons,Asset Return +5d,Asset Return +20d,Asset Return +60d,Asset Return +120d,Max Gain +20d,Days To Max Gain +20d,Max Drawdown +20d,Days To Max Drawdown +20d,Max Gain +60d,Days To Max Gain +60d,Max Drawdown +60d,Days To Max Drawdown +60d,Max Gain +120d,Days To Max Gain +120d,Max Drawdown +120d,Days To Max Drawdown +120d
A-RVol v3 (NASDAQ),1993-02-16,RVol > QLD,MODERATE,QLD,92038.61380027418,0.2053720550810624,1.143969470653471,,,RVol > 18.00%,-0.03372607396548721,0.09249511427086943,0.0038469910549339126,0.05671435239310396,0.0969413547786373,19.0,-0.038585846611512764,4.0,0.0969413547786373,19.0,-0.12374148694296228,48.0,0.13816834483879226,70.0,-0.12374148694296228,48.0
A-RVol v3 (NASDAQ),1993-04-02,RVol > QLD,DEFENSIVE,CASH,90661.92861525966,0.22174864738392275,1.2418106814262422,,,,,,,,,,,,,,,,,,,
A-RVol v3 (NASDAQ),1993-05-21,RVol > QLD,DEFENSIVE,CASH,90661.92861525966,0.18246105525116108,1.0571147688083486,,,,,,,,,,,,,,,,,,,
A-RVol v3 (NASDAQ),1993-05-28,RVol > QLD,DEFENSIVE,CASH,90661.92861525966,0.1820281584693132,1.048297789704666,,,,,,,,,,,,,,,,,,,
A-RVol v3 (NASDAQ),1993-06-07,RVol > QLD,DEFENSIVE,CASH,90661.92861525966,0.1900530552060429,1.0876730615802384,,,,,,,,,,,,,,,,,,,
A-RVol v3 (NASDAQ),1993-07-23,RVol > QLD,DEFENSIVE,CASH,90661.92861525966,0.180458858600668,1.0723003743488417,,,,,,,,,,,,,,,,,,,
A-RVol v3 (NASDAQ),1993-11-04,RVol > QLD,DEFENSIVE,CASH,90661.92861525966,0.1844583635913544,1.1097432872536643,,,,,,,,,,,,,,,,,,,
A-RVol v3 (NASDAQ),1994-04-05,RVol > QLD,DEFENSIVE,CASH,85989.25343421864,0.24046724590548765,1.5453121616748748,-0.020050118210815926,,VR > 1.40,,,,,,,,,,,,,,,,
A-RVol v3 (NASDAQ),1994-06-23,RVol > QLD,MODERATE,QLD,81895.90524794738,0.19909581202727406,1.266068539904739,-0.014906622515392876,,,0.03696029546249413,0.05939321580277346,0.28002396580430267,0.1528706734688512,0.08542348829959945,13.0,-0.010011415280095526,1.0,0.3012173017603672,58.0,-0.010011415280095526,1.0,0.3251504875368858,90.0,-0.010011415280095526,1.0
A-RVol v3 (NASDAQ),1994-09-15,RVol > QLD,MODERATE,QLD,95708.6542056103,0.1850354079773637,1.1708336626135862,0.03879698998366221,,RVol > 18.00%,-0.06701934182510161,-0.04210818659827764,-0.10846481912301775,0.1035683266892744,0.0,0.0,-0.12023278430575868,15.0,0.018392920032757498,32.0,-0.12023278430575868,15.0,0.10567264073086147,118.0,-0.12023278430575868,15.0
A-RVol v3 (NASDAQ),1994-09-20,RVol > QLD,MODERATE,QLD,90849.22981319769,0.18728529924401094,1.180344710869858,0.012442110332353762,,,-0.03887950477118918,-0.0010154536246406165,-0.04702287638920677,0.1817853882306142,0.011790381966219954,15.0,-0.07317501313499553,12.0,0.07286562615082937,29.0,-0.07317501313499553,12.0,0.1871839673307958,119.0,-0.07317501313499553,12.0
A-RVol v3 (NASDAQ),1994-10-05,RVol > QLD,MODERATE,QLD,86063.98863554877,0.18389387012647163,1.150435968544974,-0.005204611493663802,,,0.06543781578016716,0.10930285856662048,0.06770490714980837,0.3565037334850025,0.13251799473998926,18.0,-0.02164264562642737,1.0,0.13251799473998926,18.0,-0.02164264562642737,1.0,0.3565037334850025,120.0,-0.02164264562642737,1.0
A-RVol v3 (NASDAQ),1994-10-11,RVol > QLD,MODERATE,QLD,91920.37693403217,0.18196261737045635,1.1348129008582692,0.02188444466021444,,,-0.012656609332434066,0.029540012818475958,-0.015025322661800566,0.20247730052802027,0.060363535049543726,14.0,-0.018104545893801283,4.0,0.060363535049543726,14.0,-0.08253581952214728,41.0,0.2700787985945383,116.0,-0.08253581952214728,41.0
