Signal,Transition Reasons,Events,Whipsaws,Whipsaw %,Avg Transition Days,Median Transition Days,Avg Return +5d,Avg Return +20d,Avg Return +60d,Avg Return +120d,Avg Timing Score,Avg Outcome Score,Avg Timing Quality,Positive 20d %,Positive 60d %,Positive 120d %
Credit Crisis,,262,0,0.0,,,-0.0102,-0.0356,-0.0435,-0.0639,0.0507,-0.0298,,43.41,50.55,56.04
Credit Crisis,Credit Crisis,62,0,0.0,,,-0.0038,0.0192,-0.0039,-0.0407,0.0137,0.0038,,65.85,70.73,58.54
Credit Crisis,VR > 1.25,6,0,0.0,,,0.0306,-0.0536,0.282,-0.218,0.0083,0.0864,,0.0,100.0,0.0
Donchian Break,,1338,0,0.0,,,-0.0062,0.0082,0.0274,0.0277,0.0584,0.0097,,55.81,63.23,59.1
Donchian Break,Credit Crisis,1,0,0.0,,,0.0439,0.1088,0.0364,0.003,-0.066,0.063,,100.0,100.0,100.0
Donchian Break,Danger Passed,8,0,0.0,,,0.0939,0.1663,0.3159,0.1888,0.1823,0.192,,100.0,100.0,87.5
Donchian Break,Donchian,109,0,0.0,,,0.0011,-0.0097,-0.0249,-0.0498,0.0222,-0.0112,,66.07,62.5,67.86
Donchian Break,RVol > 18.00%,43,0,0.0,,,0.0042,0.1306,0.1663,0.2086,0.1422,0.1004,,86.05,67.44,95.35
Donchian Break,RVol > 18.00% | VR > 1.25,6,0,0.0,,,0.0718,0.0296,-0.1985,0.0907,0.0121,-0.0323,,100.0,0.0,100.0
Donchian Break,RVol > 36.00% | Donchian,1,0,0.0,,,0.0125,0.0643,0.1692,0.1639,-0.0259,0.082,,100.0,100.0,100.0
Donchian Break,RVol > 36.00% | VR > 1.40 | Donchian,1,0,0.0,,,-0.024,-0.008,-0.0939,-0.0435,0.0163,-0.042,,0.0,0.0,0.0
Donchian Break,SPY Breakdown,6,0,0.0,,,0.049,-0.0033,-0.1073,0.0284,0.0331,-0.0205,,50.0,0.0,100.0
Donchian Break,VR > 1.25,2,0,0.0,,,0.0208,0.0808,0.0393,0.0758,0.0555,0.047,,100.0,50.0,100.0
Donchian Break,VR > 1.40,2,0,0.0,,,0.0026,0.0262,0.0916,0.1186,0.0011,0.0401,,50.0,100.0,100.0
Donchian Break,VR > 1.40 | Donchian,7,0,0.0,,,-0.0492,0.0182,0.0011,-0.04,0.0425,-0.0099,,100.0,80.0,80.0
Donchian Break,VR > 1.40 | SPY Breakdown | Donchian,6,0,0.0,,,-0.0592,-0.0719,-0.0975,0.0153,0.0929,-0.0762,,0.0,0.0,75.0
Donchian+RVol,,1023,0,0.0,,,-0.0084,-0.0095,-0.0218,-0.0414,0.0479,-0.0131,,53.12,58.44,52.27
Donchian+RVol,Danger Passed,8,0,0.0,,,0.0939,0.1663,0.3159,0.1888,0.1823,0.192,,100.0,100.0,87.5
Donchian+RVol,Donchian,116,0,0.0,,,-0.0039,-0.0092,-0.0246,-0.0474,0.0219,-0.0151,,66.67,61.4,68.42
Donchian+RVol,RVol > 18.00%,12,0,0.0,,,0.0216,0.1628,0.1513,0.2145,0.1429,0.1119,,100.0,75.0,100.0
Donchian+RVol,RVol > 18.00% | VR > 1.25,6,0,0.0,,,0.0718,0.0296,-0.1985,0.0907,0.0121,-0.0323,,100.0,0.0,100.0
Donchian+RVol,RVol > 36.00% | Donchian,1,0,0.0,,,0.0125,0.0643,0.1692,0.1639,-0.0259,0.082,,100.0,100.0,100.0
Donchian+RVol,RVol > 36.00% | VR > 1.40 | Donchian,1,0,0.0,,,-0.024,-0.008,-0.0939,-0.0435,0.0163,-0.042,,0.0,0.0,0.0
