Signal,Transition Reasons,Events,Whipsaws,Whipsaw %,Avg Transition Days,Median Transition Days,Avg Return +5d,Avg Return +20d,Avg Return +60d,Avg Return +120d,Avg Timing Score,Avg Outcome Score,Avg Timing Quality,Positive 20d %,Positive 60d %,Positive 120d %
Credit Crisis,,262,0,0.0,,,,,,,,,,,,
Credit Crisis,Credit Crisis,62,0,0.0,,,,,,,,,,,,
Credit Crisis,VR > 1.25,6,0,0.0,,,,,,,,,,,,
Donchian Break,,1338,0,0.0,,,,,,,,,,,,
Donchian Break,Credit Crisis,1,0,0.0,,,,,,,,,,,,
Donchian Break,Danger Passed,8,0,0.0,,,,,,,,,,,,
Donchian Break,Donchian,109,0,0.0,,,,,,,,,,,,
Donchian Break,RVol > 18.00%,43,0,0.0,,,,,,,,,,,,
Donchian Break,RVol > 18.00% | VR > 1.25,6,0,0.0,,,,,,,,,,,,
Donchian Break,RVol > 36.00% | Donchian,1,0,0.0,,,,,,,,,,,,
Donchian Break,RVol > 36.00% | VR > 1.40 | Donchian,1,0,0.0,,,,,,,,,,,,
Donchian Break,SPY Breakdown,6,0,0.0,,,,,,,,,,,,
Donchian Break,VR > 1.25,2,0,0.0,,,,,,,,,,,,
Donchian Break,VR > 1.40,2,0,0.0,,,,,,,,,,,,
Donchian Break,VR > 1.40 | Donchian,7,0,0.0,,,,,,,,,,,,
Donchian Break,VR > 1.40 | SPY Breakdown | Donchian,6,0,0.0,,,,,,,,,,,,
Donchian+RVol,,1023,0,0.0,,,,,,,,,,,,
Donchian+RVol,Danger Passed,8,0,0.0,,,,,,,,,,,,
Donchian+RVol,Donchian,116,0,0.0,,,,,,,,,,,,
Donchian+RVol,RVol > 18.00%,12,0,0.0,,,,,,,,,,,,
Donchian+RVol,RVol > 18.00% | VR > 1.25,6,0,0.0,,,,,,,,,,,,
Donchian+RVol,RVol > 36.00% | Donchian,1,0,0.0,,,,,,,,,,,,
Donchian+RVol,RVol > 36.00% | VR > 1.40 | Donchian,1,0,0.0,,,,,,,,,,,,
Donchian+RVol,VR > 1.40 | Donchian,7,0,0.0,,,,,,,,,,,,
Donchian+RVol,VR > 1.40 | SPY Breakdown | Donchian,6,0,0.0,,,,,,,,,,,,
RVol >18%,,749,0,0.0,,,,,,,,,,,,
RVol >18%,Credit Crisis,1,0,0.0,,,,,,,,,,,,
RVol >18%,Danger Passed,19,0,0.0,,,,,,,,,,,,
RVol >18%,Donchian,2,0,0.0,,,,,,,,,,,,
RVol >18%,Donchian +3% Recovery,1,0,0.0,,,,,,,,,,,,
RVol >18%,RVol > 18.00%,327,0,0.0,,,,,,,,,,,,
RVol >18%,RVol > 18.00% | VR > 1.25,66,0,0.0,,,,,,,,,,,,
RVol >18%,VR > 1.40,33,0,0.0,,,,,,,,,,,,
RVol >18%,VR > 1.40 | SPY Breakdown | Donchian,6,0,0.0,,,,,,,,,,,,
SPY Breakdown,,456,0,0.0,,,,,,,,,,,,
SPY Breakdown,RVol > 36.00% | VR > 1.40 | SPY Breakdown,6,0,0.0,,,,,,,,,,,,
SPY Breakdown,SPY Breakdown,47,0,0.0,,,,,,,,,,,,
SPY Breakdown,VR > 1.40 | SPY Breakdown,1,0,0.0,,,,,,,,,,,,
SPY Breakdown,VR > 1.40 | SPY Breakdown | Donchian,6,0,0.0,,,,,,,,,,,,
VR >1.25,,808,0,0.0,,,,,,,,,,,,
VR >1.25,Credit Crisis,7,0,0.0,,,,,,,,,,,,
VR >1.25,Donchian,6,0,0.0,,,,,,,,,,,,
VR >1.25,Donchian +3% Recovery,9,0,0.0,,,,,,,,,,,,
VR >1.25,RVol > 18.00% | VR > 1.25,66,0,0.0,,,,,,,,,,,,
VR >1.25,RVol > 36.00%,7,0,0.0,,,,,,,,,,,,
VR >1.25,RVol > 36.00% | VR > 1.40,7,0,0.0,,,,,,,,,,,,
VR >1.25,RVol > 36.00% | VR > 1.40 | Donchian,1,0,0.0,,,,,,,,,,,,
VR >1.25,VR > 1.25,128,0,0.0,,,,,,,,,,,,
VR >1.25,VR > 1.40,34,0,0.0,,,,,,,,,,,,
VR >1.25,VR > 1.40 | Donchian,1,0,0.0,,,,,,,,,,,,
VR >1.25,VR > 1.40 | SPY Breakdown,1,0,0.0,,,,,,,,,,,,
VR >1.25,VR > 1.40 | SPY Breakdown | Donchian,6,0,0.0,,,,,,,,,,,,
