Strategy,Date,Signal,State,Asset,Equity,RVol,VR,SPY vs 200 SMA,Credit,Transition Reasons,Next Transition,Days To Transition,Transition Boundary,Forward Window 5d,Return +5d Valid,Asset Return +5d,Forward Window 20d,Return +20d Valid,Asset Return +20d,Forward Window 60d,Return +60d Valid,Asset Return +60d,Forward Window 120d,Return +120d Valid,Asset Return +120d,Max Gain +20d,Days To Max Gain +20d,Max Drawdown +20d,Days To Max Drawdown +20d,Max Gain +60d,Days To Max Gain +60d,Max Drawdown +60d,Days To Max Drawdown +60d,Max Gain +120d,Days To Max Gain +120d,Max Drawdown +120d,Days To Max Drawdown +120d,Timing Classification,Timing Score,Outcome Score,Whipsaw,Timing Quality
A-RVol v3 (NASDAQ),1993-02-16,RVol >18%,MODERATE,QLD,92038.61380027418,0.2053720550810624,1.143969470653471,nan,,RVol > 18.00%,,,NO,5,YES,,20,YES,,60,YES,,120,YES,,,,,,,,,,,,,,,,,NO,
A-RVol v3 (NASDAQ),1993-02-16,Donchian Break,MODERATE,QLD,92038.61380027418,0.2053720550810624,1.143969470653471,nan,,RVol > 18.00%,,,NO,5,YES,,20,YES,,60,YES,,120,YES,,,,,,,,,,,,,,,,,NO,
A-RVol v3 (NASDAQ),1993-02-16,Donchian+RVol,MODERATE,QLD,92038.61380027418,0.2053720550810624,1.143969470653471,nan,,RVol > 18.00%,,,NO,5,YES,,20,YES,,60,YES,,120,YES,,,,,,,,,,,,,,,,,NO,
A-RVol v3 (NASDAQ),1993-02-22,Donchian Break,DEFENSIVE,CASH,92038.61380027418,0.21706464725155908,1.2117793749829138,nan,,,,,NO,5,YES,,20,YES,,60,YES,,120,YES,,,,,,,,,,,,,,,,,NO,
A-RVol v3 (NASDAQ),1993-02-22,Donchian+RVol,DEFENSIVE,CASH,92038.61380027418,0.21706464725155908,1.2117793749829138,nan,,,,,NO,5,YES,,20,YES,,60,YES,,120,YES,,,,,,,,,,,,,,,,,NO,
A-RVol v3 (NASDAQ),1993-02-24,VR >1.25,DEFENSIVE,CASH,92038.61380027418,0.23963216564463674,1.3392718741158272,nan,,,,,NO,5,YES,,20,YES,,60,YES,,120,YES,,,,,,,,,,,,,,,,,NO,
A-RVol v3 (NASDAQ),1993-04-02,RVol >18%,DEFENSIVE,CASH,90661.92861525966,0.22174864738392275,1.2418106814262422,nan,,,,,NO,5,YES,,20,YES,,60,YES,,120,YES,,,,,,,,,,,,,,,,,NO,
A-RVol v3 (NASDAQ),1993-04-05,VR >1.25,DEFENSIVE,CASH,90661.92861525966,0.226918872188758,1.2699640327228974,nan,,,,,NO,5,YES,,20,YES,,60,YES,,120,YES,,,,,,,,,,,,,,,,,NO,
A-RVol v3 (NASDAQ),1993-04-19,Donchian Break,DEFENSIVE,CASH,90661.92861525966,0.2395580392456138,1.3513620818150651,nan,,,,,NO,5,YES,,20,YES,,60,YES,,120,YES,,,,,,,,,,,,,,,,,NO,
A-RVol v3 (NASDAQ),1993-04-19,Donchian+RVol,DEFENSIVE,CASH,90661.92861525966,0.2395580392456138,1.3513620818150651,nan,,,,,NO,5,YES,,20,YES,,60,YES,,120,YES,,,,,,,,,,,,,,,,,NO,
A-RVol v3 (NASDAQ),1993-04-23,Donchian Break,DEFENSIVE,CASH,90661.92861525966,0.22394860297719424,1.2744620703360257,nan,,,,,NO,5,YES,,20,YES,,60,YES,,120,YES,,,,,,,,,,,,,,,,,NO,
