Strategy,Date,From State,To State,From Asset,To Asset,Trade,Whipsaw,Duration Days,Exit Timing,Re-entry Timing,Downside Avoided,Transition Quality
A-RVol v3 (NASDAQ),1993-02-16,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,1,,,,
A-RVol v3 (NASDAQ),1993-02-17,MODERATE,DEFENSIVE,QLD,TLT,True,False,6,-0.08781860830044708,,-0.024671807257025224,71.43551158450836
A-RVol v3 (NASDAQ),1993-02-25,DEFENSIVE,MODERATE,TLT,QLD,True,True,3,,0.015184821303071194,,
A-RVol v3 (NASDAQ),1993-03-02,MODERATE,DEFENSIVE,QLD,TLT,True,False,200,-0.09379031228544765,,0.0,68.74516252574628
A-RVol v3 (NASDAQ),1993-12-14,DEFENSIVE,MODERATE,TLT,QLD,True,False,6,,0.0,,82.31037709797546
A-RVol v3 (NASDAQ),1993-12-22,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,70,,,,94.30340808567678
A-RVol v3 (NASDAQ),1994-04-04,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,1,,,,
A-RVol v3 (NASDAQ),1994-04-05,MODERATE,DEFENSIVE,QLD,TLT,True,False,29,-0.09381007427041488,,0.0,68.74279108755022
A-RVol v3 (NASDAQ),1994-05-17,DEFENSIVE,MODERATE,TLT,QLD,True,False,27,,0.0,,88.24065963433918
A-RVol v3 (NASDAQ),1994-06-24,MODERATE,DEFENSIVE,QLD,TLT,True,False,14,-0.010735273767944253,,-0.0424954599917331,82.11140394718534
A-RVol v3 (NASDAQ),1994-07-15,DEFENSIVE,MODERATE,TLT,QLD,True,False,28,,0.044381471017741925,,78.47178306478813
A-RVol v3 (NASDAQ),1994-08-24,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,15,,,,87.17306922519268
A-RVol v3 (NASDAQ),1994-09-15,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,31,,,,60.231627215743586
A-RVol v3 (NASDAQ),1994-10-28,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,17,,,,64.1344808792965
A-RVol v3 (NASDAQ),1994-11-22,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,35,,,,74.70372250423489
A-RVol v3 (NASDAQ),1995-01-13,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,94,,,,81.91720937910526
A-RVol v3 (NASDAQ),1995-05-30,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,15,,,,87.5766590473333
A-RVol v3 (NASDAQ),1995-06-20,MODERATE,AGGRESSIVE,QLD,TQQQ,True,True,5,,,,
A-RVol v3 (NASDAQ),1995-06-27,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,9,,,,84.64145175527874
A-RVol v3 (NASDAQ),1995-07-11,MODERATE,DEFENSIVE,QLD,TLT,True,False,54,-0.09033388916654617,,-0.11948373001110812,78.7186317009031
A-RVol v3 (NASDAQ),1995-09-26,DEFENSIVE,MODERATE,TLT,QLD,True,False,6,,0.0301276371106336,,74.0449628344334
A-RVol v3 (NASDAQ),1995-10-04,MODERATE,DEFENSIVE,QLD,TLT,True,True,5,-0.1077331158311351,,0.0,67.07202610026378
A-RVol v3 (NASDAQ),1995-10-11,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),1995-10-12,MODERATE,DEFENSIVE,QLD,TLT,True,False,79,0.04457894931583262,,-0.0522396968896538,84.17917575117231
A-RVol v3 (NASDAQ),1996-02-05,DEFENSIVE,MODERATE,TLT,QLD,True,False,47,,0.05511910207487514,,75.82703058871758
A-RVol v3 (NASDAQ),1996-04-12,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,14,,,,100.0
A-RVol v3 (NASDAQ),1996-05-02,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,15,,,,89.32991102829375
A-RVol v3 (NASDAQ),1996-05-23,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,26,,,,62.1380081365852
A-RVol v3 (NASDAQ),1996-07-01,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,3,,,,
A-RVol v3 (NASDAQ),1996-07-05,MODERATE,DEFENSIVE,QLD,TLT,True,False,8,-0.14512203174755345,,-0.10510697874066932,70.99391448954714
A-RVol v3 (NASDAQ),1996-07-17,DEFENSIVE,MODERATE,TLT,QLD,True,True,4,,0.025148611166915247,,
A-RVol v3 (NASDAQ),1996-07-23,MODERATE,DEFENSIVE,QLD,TLT,True,True,3,-0.03683284678224663,,-0.04093632963066185,78.85496475658334
A-RVol v3 (NASDAQ),1996-07-26,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),1996-07-29,MODERATE,DEFENSIVE,QLD,TLT,True,False,11,-0.03980859603692766,,-0.05547701437778918,79.66112962579183
A-RVol v3 (NASDAQ),1996-08-13,DEFENSIVE,MODERATE,TLT,QLD,True,False,143,,0.058735483648651776,,75.05301856680839
A-RVol v3 (NASDAQ),1997-03-07,MODERATE,DEFENSIVE,QLD,TLT,True,False,13,-0.01888170903411146,,-0.11960092235481279,87.30226870429165
A-RVol v3 (NASDAQ),1997-03-26,DEFENSIVE,MODERATE,TLT,QLD,True,True,2,,0.0392516056577592,,
A-RVol v3 (NASDAQ),1997-03-31,MODERATE,DEFENSIVE,QLD,TLT,True,True,4,-0.032652052400978016,,-0.08011789193334062,82.49118506654989
A-RVol v3 (NASDAQ),1997-04-04,DEFENSIVE,MODERATE,TLT,QLD,True,True,5,,0.024090019505665694,,
A-RVol v3 (NASDAQ),1997-04-11,MODERATE,DEFENSIVE,QLD,TLT,True,False,30,0.017303886824553638,,-0.07957898478440051,86.36631878275205
A-RVol v3 (NASDAQ),1997-05-23,DEFENSIVE,MODERATE,TLT,QLD,True,False,107,,0.08645933053338628,,70.53283168180887
A-RVol v3 (NASDAQ),1997-10-24,MODERATE,DEFENSIVE,QLD,TLT,True,True,2,-0.15758496893904883,,-0.12948209962426172,71.44837169725508
A-RVol v3 (NASDAQ),1997-10-28,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),1997-10-29,MODERATE,DEFENSIVE,QLD,TLT,True,False,46,-0.02215507052402521,,-0.09952370772954477,85.30328815548056
A-RVol v3 (NASDAQ),1998-01-06,DEFENSIVE,MODERATE,TLT,QLD,True,False,58,,0.11052340698343799,,85.55629478653836
A-RVol v3 (NASDAQ),1998-03-31,MODERATE,AGGRESSIVE,QLD,TQQQ,True,True,5,,,,
A-RVol v3 (NASDAQ),1998-04-07,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,99,,,,95.03193466249132
A-RVol v3 (NASDAQ),1998-08-27,MODERATE,DEFENSIVE,QLD,TLT,True,True,3,-0.2650937730382533,,-0.016791240249493522,49.532046455369084
A-RVol v3 (NASDAQ),1998-09-01,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),1998-09-02,MODERATE,DEFENSIVE,QLD,TLT,True,False,48,0.013169000140285325,,-0.017375945156442252,81.39007561251537
A-RVol v3 (NASDAQ),1998-11-10,DEFENSIVE,MODERATE,TLT,QLD,True,False,17,,0.017683207601923323,,89.09787435570321
A-RVol v3 (NASDAQ),1998-12-04,MODERATE,DEFENSIVE,QLD,TLT,True,False,21,0.06381900276661101,,-0.06101782611914519,84.88142608953162
A-RVol v3 (NASDAQ),1999-01-06,DEFENSIVE,MODERATE,TLT,QLD,True,False,13,,0.06498294410314087,,71.42034521929642
A-RVol v3 (NASDAQ),1999-01-26,MODERATE,DEFENSIVE,QLD,TLT,True,False,113,0.021819943720168267,,-0.1489165900310231,91.91332720248184
A-RVol v3 (NASDAQ),1999-07-08,DEFENSIVE,MODERATE,TLT,QLD,True,False,70,,0.1749729677335048,,62.58843326180888
A-RVol v3 (NASDAQ),1999-10-15,MODERATE,DEFENSIVE,QLD,TLT,True,False,15,0.03864409418303172,,0.0,80.0
A-RVol v3 (NASDAQ),1999-11-05,DEFENSIVE,MODERATE,TLT,QLD,True,False,40,,0.0,,100.0
A-RVol v3 (NASDAQ),2000-01-04,MODERATE,DEFENSIVE,QLD,TLT,True,False,162,0.026705781604760448,,-0.18628239793648915,94.90259183491914
A-RVol v3 (NASDAQ),2000-08-24,DEFENSIVE,MODERATE,TLT,QLD,True,False,17,,0.22892757568976574,,57.598624945558754
A-RVol v3 (NASDAQ),2000-09-19,MODERATE,DEFENSIVE,QLD,TLT,True,False,647,0.03453560371228104,,-0.03554658142770206,82.84372651421617
A-RVol v3 (NASDAQ),2003-04-22,DEFENSIVE,MODERATE,TLT,QLD,True,False,89,,0.03685671152508574,,82.7874337378728
A-RVol v3 (NASDAQ),2003-08-27,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,13,,,,90.1047862084346
A-RVol v3 (NASDAQ),2003-09-16,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,78,,,,68.22372276575152
A-RVol v3 (NASDAQ),2004-01-07,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,24,,,,68.491073122024
A-RVol v3 (NASDAQ),2004-02-11,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,12,,,,67.92170532686468
A-RVol v3 (NASDAQ),2004-03-01,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,10,,,,47.71556964481869
A-RVol v3 (NASDAQ),2004-03-15,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,4,,,,
A-RVol v3 (NASDAQ),2004-03-19,MODERATE,DEFENSIVE,QLD,TLT,True,True,4,-0.010839326104754576,,-0.01478454273233687,79.8820442860164
A-RVol v3 (NASDAQ),2004-03-25,DEFENSIVE,MODERATE,TLT,QLD,True,False,45,,0.015006405576846626,,85.8995091881182
A-RVol v3 (NASDAQ),2004-05-28,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,16,,,,78.48241438708914
A-RVol v3 (NASDAQ),2004-06-23,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,19,,,,63.839238049601114
A-RVol v3 (NASDAQ),2004-07-21,MODERATE,DEFENSIVE,QLD,TLT,True,False,20,-0.02618544852037963,,-0.015495809987457254,78.09741097655102
A-RVol v3 (NASDAQ),2004-08-18,DEFENSIVE,MODERATE,TLT,QLD,True,False,61,,0.015739709535679935,,84.23011528049403
A-RVol v3 (NASDAQ),2004-11-12,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,57,,,,86.67273081576555
A-RVol v3 (NASDAQ),2005-02-04,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,26,,,,73.77894370590462
A-RVol v3 (NASDAQ),2005-03-15,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,26,,,,66.3379841639309
A-RVol v3 (NASDAQ),2005-04-21,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,20,,,,73.31515824742803
A-RVol v3 (NASDAQ),2005-05-19,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,109,,,,83.19837692779936
A-RVol v3 (NASDAQ),2005-10-24,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,18,,,,76.05449725219368
A-RVol v3 (NASDAQ),2005-11-17,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,33,,,,83.01948199110237
A-RVol v3 (NASDAQ),2006-01-06,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,9,,,,78.17671666139007
A-RVol v3 (NASDAQ),2006-01-20,MODERATE,DEFENSIVE,QLD,TLT,True,False,15,-0.05985279503853147,,-0.027938530093447933,75.05274700285206
A-RVol v3 (NASDAQ),2006-02-10,DEFENSIVE,MODERATE,TLT,QLD,True,False,30,,0.028741526084902658,,79.38323155941912
A-RVol v3 (NASDAQ),2006-03-27,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,44,,,,83.33035428615125
A-RVol v3 (NASDAQ),2006-05-30,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,2,,,,
A-RVol v3 (NASDAQ),2006-06-01,MODERATE,DEFENSIVE,QLD,TLT,True,False,51,-0.022357404149853766,,0.0,77.31711150201755
A-RVol v3 (NASDAQ),2006-08-14,DEFENSIVE,MODERATE,TLT,QLD,True,False,22,,0.0,,92.83137885367282
A-RVol v3 (NASDAQ),2006-09-14,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,112,,,,92.07146925743224
A-RVol v3 (NASDAQ),2007-02-27,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,1,,,,
A-RVol v3 (NASDAQ),2007-02-28,MODERATE,DEFENSIVE,QLD,TLT,True,False,14,0.013386734975686654,,-0.0038066774945944015,80.30453419956756
A-RVol v3 (NASDAQ),2007-03-20,DEFENSIVE,MODERATE,TLT,QLD,True,False,10,,0.003821223660705364,,81.04458616163804
A-RVol v3 (NASDAQ),2007-04-03,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,82,,,,91.97419557271196
A-RVol v3 (NASDAQ),2007-07-31,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,1,,,,
A-RVol v3 (NASDAQ),2007-08-01,MODERATE,DEFENSIVE,QLD,TLT,True,False,39,0.008929585492648773,,0.0,80.0
A-RVol v3 (NASDAQ),2007-09-26,DEFENSIVE,MODERATE,TLT,QLD,True,True,2,,0.0,,
A-RVol v3 (NASDAQ),2007-09-28,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,15,,,,89.64544136894102
A-RVol v3 (NASDAQ),2007-10-19,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,2,,,,
A-RVol v3 (NASDAQ),2007-10-23,MODERATE,DEFENSIVE,QLD,TLT,True,False,132,0.010941681646995827,,-0.03258453412673046,82.60676273013844
A-RVol v3 (NASDAQ),2008-05-02,DEFENSIVE,MODERATE,TLT,QLD,True,False,24,,0.03368204796820873,,79.41240104946554
A-RVol v3 (NASDAQ),2008-06-06,MODERATE,DEFENSIVE,QLD,TLT,True,False,250,0.017503070786970776,,-0.09191363556691612,87.3530908453533
A-RVol v3 (NASDAQ),2009-06-04,DEFENSIVE,MODERATE,TLT,QLD,True,False,21,,0.10121684364713213,,68.05931645581428
A-RVol v3 (NASDAQ),2009-07-06,MODERATE,DEFENSIVE,QLD,TLT,True,True,1,-0.10167390563955436,,0.0,67.79913132325348
A-RVol v3 (NASDAQ),2009-07-07,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
