Section,Rank,Strategy,Date,From State,To State,From Asset,To Asset,Trade,Whipsaw,Duration Days,Exit Timing,Re-entry Timing,Missed Upside,Downside Avoided,Whipsaw Severity
TOP_WHIPSAWS,1,A-RVol v3 (NASDAQ),1993-02-16,AGGRESSIVE,MODERATE,,,False,True,1,,,,-0.04995299450017632,0
TOP_WHIPSAWS,2,A-RVol v3 (S&P 500),2014-12-17,AGGRESSIVE,MODERATE,,,False,True,1,,,,-0.09783056715636473,0
TOP_WHIPSAWS,3,A-RVol v3 (S&P 500),2013-06-17,AGGRESSIVE,MODERATE,,,False,True,3,,,,-0.029624619289822296,0
TOP_WHIPSAWS,4,A-RVol v3 (S&P 500),2013-07-12,DEFENSIVE,MODERATE,,,False,True,1,,,,-0.02461168438250494,0
TOP_WHIPSAWS,5,A-RVol v3 (S&P 500),2014-01-30,AGGRESSIVE,MODERATE,,,False,True,2,,,,0.0,0
TOP_WHIPSAWS,6,A-RVol v3 (S&P 500),2014-02-25,DEFENSIVE,MODERATE,,,False,True,1,,,,-0.016427974861850436,0
TOP_WHIPSAWS,7,A-RVol v3 (S&P 500),2014-08-18,AGGRESSIVE,MODERATE,,,False,True,3,,,,-0.009687288481393552,0
TOP_WHIPSAWS,8,A-RVol v3 (S&P 500),2014-10-03,AGGRESSIVE,MODERATE,,,False,True,3,,,,-0.15456675766180794,0
TOP_WHIPSAWS,9,A-RVol v3 (S&P 500),2014-11-10,DEFENSIVE,MODERATE,,,False,True,1,,,,-0.0008426743692184768,0
TOP_WHIPSAWS,10,A-RVol v3 (S&P 500),2015-02-23,DEFENSIVE,MODERATE,,,False,True,1,,,,-0.04572584807919067,0
TOP_WHIPSAWS,11,A-RVol v3 (S&P 500),2010-05-10,DEFENSIVE,MODERATE,,,False,True,1,,,,-0.0076053149612742565,0
TOP_WHIPSAWS,12,A-RVol v3 (S&P 500),2015-03-18,AGGRESSIVE,MODERATE,,,False,True,5,,,,-0.006580660574021846,0
TOP_WHIPSAWS,13,A-RVol v3 (S&P 500),2015-04-09,DEFENSIVE,MODERATE,,,False,True,5,,,,-0.08337880989835178,0
TOP_WHIPSAWS,14,A-RVol v3 (S&P 500),2015-12-17,AGGRESSIVE,MODERATE,,,False,True,4,,,,-0.2753712134491223,0
TOP_WHIPSAWS,15,A-RVol v3 (S&P 500),2016-06-27,AGGRESSIVE,MODERATE,,,False,True,3,,,,-0.013371213047577934,0
TOP_WHIPSAWS,16,A-RVol v3 (S&P 500),2016-07-18,DEFENSIVE,MODERATE,,,False,True,1,,,,-0.005667402478221062,0
TOP_WHIPSAWS,17,A-RVol v3 (S&P 500),2017-08-17,AGGRESSIVE,MODERATE,,,False,True,3,,,,-0.016734610708214026,0
TOP_WHIPSAWS,18,A-RVol v3 (S&P 500),2017-09-08,DEFENSIVE,MODERATE,,,False,True,3,,,,-0.01939890294578217,0
TOP_WHIPSAWS,19,A-RVol v3 (S&P 500),2011-07-27,AGGRESSIVE,MODERATE,,,False,True,4,,,,-0.3144222179734224,0
TOP_WHIPSAWS,20,A-RVol v3 (S&P 500),2010-05-06,MODERATE,DEFENSIVE,,,False,True,2,,,,-0.1819950848508447,0
