Section,Rank,Strategy,Date,From State,To State,From Asset,To Asset,Trade,Whipsaw,Duration Days,Exit Timing,Re-entry Timing,Downside Avoided,Whipsaw Severity,Transition Quality
TOP_LATE_EXITS,1,A-RVol v3 (NASDAQ 2-State),1998-08-27,MODERATE,DEFENSIVE,TQQQ,TLT,True,True,3,-0.3912752067951167,,-0.0256228960314072,,35.09680686709857
TOP_LATE_EXITS,2,A-RVol v3 (NASDAQ 2-State Cash),1998-08-27,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,3,-0.3912752067951167,,-0.0256228960314072,,35.09680686709857
TOP_LATE_EXITS,3,A-RVol v3 (NASDAQ 2-State SQQQ),1998-08-27,MODERATE,DEFENSIVE,TQQQ,SQQQ,True,True,3,-0.3912752067951167,,-0.0256228960314072,,35.09680686709857
TOP_LATE_EXITS,4,A-RVol v3 (NASDAQ Cash Defensive),1998-08-27,MODERATE,DEFENSIVE,QLD,CASH,True,True,3,-0.2650937730382533,,-0.0167912402494935,,49.53204645536909
TOP_LATE_EXITS,5,A-RVol v3 (NASDAQ),1998-08-27,MODERATE,DEFENSIVE,QLD,TLT,True,True,3,-0.2650937730382533,,-0.0167912402494935,,49.53204645536909
TOP_LATE_EXITS,6,A-RVol v3 (Semiconductors),2011-07-18,MODERATE,DEFENSIVE,USD,TLT,True,False,16,-0.2477379956441945,,-0.1229118103024557,,60.104385346893125
TOP_LATE_EXITS,7,A-RVol v3 (NASDAQ 2-State),1997-10-24,MODERATE,DEFENSIVE,TQQQ,TLT,True,True,2,-0.2435434820855706,,-0.1935010219114414,,66.25486390264683
TOP_LATE_EXITS,8,A-RVol v3 (NASDAQ 2-State Cash),1997-10-24,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,2,-0.2435434820855706,,-0.1935010219114414,,66.25486390264683
TOP_LATE_EXITS,9,A-RVol v3 (NASDAQ 2-State SQQQ),1997-10-24,MODERATE,DEFENSIVE,TQQQ,SQQQ,True,True,2,-0.2435434820855706,,-0.1935010219114414,,66.25486390264683
TOP_LATE_EXITS,10,A-RVol v3 (Semiconductors),2025-01-27,MODERATE,DEFENSIVE,USD,TLT,True,False,7,-0.2295383294767485,,-0.2551924131215685,,72.45540046279017
TOP_LATE_EXITS,11,A-RVol v3 (NASDAQ 2-State),2015-08-21,MODERATE,DEFENSIVE,TQQQ,TLT,True,True,3,-0.2277175398496347,,-0.0568303938234581,,57.22032672392048
TOP_LATE_EXITS,12,A-RVol v3 (NASDAQ 2-State Cash),2015-08-21,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,3,-0.2277175398496347,,-0.0568303938234581,,57.22032672392048
TOP_LATE_EXITS,13,A-RVol v3 (NASDAQ 2-State SQQQ),2015-08-21,MODERATE,DEFENSIVE,TQQQ,SQQQ,True,True,3,-0.2277175398496347,,-0.0568303938234581,,57.22032672392048
TOP_LATE_EXITS,14,A-RVol v3 (NASDAQ 2-State Cash),1996-07-05,MODERATE,DEFENSIVE,TQQQ,CASH,True,False,8,-0.2165517573612416,,-0.1574149991277106,,66.60698904686785
TOP_LATE_EXITS,15,A-RVol v3 (NASDAQ 2-State SQQQ),1996-07-05,MODERATE,DEFENSIVE,TQQQ,SQQQ,True,False,8,-0.2165517573612416,,-0.1574149991277106,,66.60698904686785
TOP_LATE_EXITS,16,A-RVol v3 (NASDAQ 2-State),1996-07-05,MODERATE,DEFENSIVE,TQQQ,TLT,True,False,8,-0.2165517573612416,,-0.1574149991277106,,66.60698904686785
TOP_LATE_EXITS,17,A-RVol v3 (NASDAQ 2-State SQQQ),2026-06-08,MODERATE,DEFENSIVE,TQQQ,SQQQ,True,False,34,-0.1794187666234452,,-0.0618908591342638,,63.42101673592767
