Section,Rank,Strategy,Date,From State,To State,From Asset,To Asset,Trade,Whipsaw,Duration Days,Exit Timing,Re-entry Timing,Downside Avoided,Whipsaw Severity,Transition Quality,_strategy_priority,Strategy Variants,Strategies Affected
TOP_LATE_EXITS,1.0,A-RVol v3 (NASDAQ 2-State Cash),1998-08-27,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,3,-0.3912752067951167,,0.0256228960314072,,35.09680686709857,0.0,6.0,A-RVol v3 (NASDAQ 2-State Cash) | A-RVol v3 (NASDAQ 2-State) | A-RVol v3 (NASDAQ) | A-RVol v3 (NASDAQ QQQ Moderate) | A-RVol v3 (NASDAQ Cash Defensive) | A-RVol v3 (NASDAQ 2-State SQQQ)
TOP_LATE_EXITS,3.0,A-RVol v3 (NASDAQ 2-State Cash),1997-10-24,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,2,-0.2435434820855706,,0.1935010219114414,,66.25486390264683,0.0,6.0,A-RVol v3 (NASDAQ 2-State Cash) | A-RVol v3 (NASDAQ 2-State) | A-RVol v3 (NASDAQ) | A-RVol v3 (NASDAQ QQQ Moderate) | A-RVol v3 (NASDAQ Cash Defensive) | A-RVol v3 (NASDAQ 2-State SQQQ)
TOP_LATE_EXITS,5.0,A-RVol v3 (NASDAQ 2-State Cash),2015-08-21,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,3,-0.2277175398496347,,0.0568303938234581,,57.22032672392048,0.0,7.0,A-RVol v3 (NASDAQ 2-State Cash) | A-RVol v3 (NASDAQ 2-State) | A-RVol v3 (NASDAQ) | A-RVol v3 (NASDAQ QQQ Moderate) | A-RVol v3 (S&P 500) | A-RVol v3 (NASDAQ Cash Defensive) | A-RVol v3 (NASDAQ 2-State SQQQ)
TOP_LATE_EXITS,6.0,A-RVol v3 (NASDAQ 2-State Cash),1996-07-05,MODERATE,DEFENSIVE,TQQQ,CASH,True,False,8,-0.2165517573612416,,0.1574149991277106,,66.60698904686785,0.0,6.0,A-RVol v3 (NASDAQ 2-State Cash) | A-RVol v3 (NASDAQ 2-State) | A-RVol v3 (NASDAQ) | A-RVol v3 (NASDAQ QQQ Moderate) | A-RVol v3 (NASDAQ 2-State SQQQ) | A-RVol v3 (NASDAQ Cash Defensive)
TOP_LATE_EXITS,7.0,A-RVol v3 (NASDAQ 2-State Cash),2026-06-08,MODERATE,DEFENSIVE,TQQQ,CASH,True,False,34,-0.1794187666234452,,0.0618908591342638,,63.42101673592767,0.0,6.0,A-RVol v3 (NASDAQ 2-State Cash) | A-RVol v3 (NASDAQ 2-State) | A-RVol v3 (NASDAQ) | A-RVol v3 (NASDAQ 2-State SQQQ) | A-RVol v3 (NASDAQ QQQ Moderate) | A-RVol v3 (NASDAQ Cash Defensive)
TOP_LATE_EXITS,9.0,A-RVol v3 (NASDAQ 2-State Cash),2010-05-06,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,2,-0.1656039803705303,,0.2246359974681079,,78.09840215298499,0.0,7.0,A-RVol v3 (NASDAQ 2-State Cash) | A-RVol v3 (NASDAQ 2-State) | A-RVol v3 (NASDAQ) | A-RVol v3 (NASDAQ QQQ Moderate) | A-RVol v3 (S&P 500) | A-RVol v3 (NASDAQ Cash Defensive) | A-RVol v3 (NASDAQ 2-State SQQQ)
TOP_LATE_EXITS,10.0,A-RVol v3 (NASDAQ 2-State Cash),1995-10-04,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,5,-0.163270951213431,,0.0,,60.40748585438827,0.0,6.0,A-RVol v3 (NASDAQ 2-State Cash) | A-RVol v3 (NASDAQ 2-State) | A-RVol v3 (NASDAQ) | A-RVol v3 (NASDAQ QQQ Moderate) | A-RVol v3 (NASDAQ 2-State SQQQ) | A-RVol v3 (NASDAQ Cash Defensive)
TOP_LATE_EXITS,11.0,A-RVol v3 (NASDAQ 2-State Cash),2009-07-06,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,1,-0.1552454981623757,,0.0,,61.37054022051491,0.0,7.0,A-RVol v3 (NASDAQ 2-State Cash) | A-RVol v3 (NASDAQ 2-State) | A-RVol v3 (NASDAQ) | A-RVol v3 (NASDAQ QQQ Moderate) | A-RVol v3 (S&P 500) | A-RVol v3 (NASDAQ Cash Defensive) | A-RVol v3 (NASDAQ 2-State SQQQ)
TOP_LATE_EXITS,14.0,A-RVol v3 (NASDAQ 2-State Cash),1994-04-05,MODERATE,DEFENSIVE,TQQQ,CASH,True,False,29,-0.1389627078345643,,0.0,,63.32447505985228,0.0,6.0,A-RVol v3 (NASDAQ 2-State Cash) | A-RVol v3 (NASDAQ 2-State) | A-RVol v3 (NASDAQ) | A-RVol v3 (NASDAQ QQQ Moderate) | A-RVol v3 (NASDAQ 2-State SQQQ) | A-RVol v3 (NASDAQ Cash Defensive)
TOP_LATE_EXITS,15.0,A-RVol v3 (NASDAQ 2-State Cash),1993-03-02,MODERATE,DEFENSIVE,TQQQ,CASH,True,False,200,-0.1385690113732324,,0.0,,63.37171863521211,0.0,6.0,A-RVol v3 (NASDAQ 2-State Cash) | A-RVol v3 (NASDAQ 2-State) | A-RVol v3 (NASDAQ) | A-RVol v3 (NASDAQ QQQ Moderate) | A-RVol v3 (NASDAQ 2-State SQQQ) | A-RVol v3 (NASDAQ Cash Defensive)
