Date,Exit Date,From State,To State,Exited Asset,Entered Asset,Duration Days,Whipsaw,Entry Price,Exit Price,Previous 10D High,Following 10D Low,Entry vs 10D Low,Exit vs Previous 10D High,Return 1D,Return 3D,Return 5D,Return 10D,Return 20D,MAE,MFE,Downside Avoided,Upside Captured,Timing Score,Outcome Score,Transition Quality,Timing Class
1993-02-16,1993-02-17,AGGRESSIVE,MODERATE,TQQQ,TQQQ,1,True,1.17873345147,1.16830539418,1.53442023947,1.17873345147,0.0,-0.23860141822455283,,,,,,0.0,0.0,-0.04995299450017632,0.0,100.0,,,EXCELLENT
1993-02-17,1993-02-25,MODERATE,DEFENSIVE,TQQQ,TLT,6,False,,1.22081471289,1.40896802055,,,-0.13353979999244625,,,,,,,,-0.04010018437123064,,73.29204000151076,58.02003687424613,67.1832387506049,GOOD
1993-02-25,1993-03-02,DEFENSIVE,MODERATE,TLT,TQQQ,3,True,1.22081471289,,,1.19330890118,0.023050034808925757,,-0.00480562615936353,,,,,-0.02253070135834645,0.0,,0.0,95.38999303821485,,,EXCELLENT
1993-03-02,1993-12-14,MODERATE,DEFENSIVE,TQQQ,TLT,198,False,,1.37488570415,1.59604857766,,,-0.1385690113732324,,,,,,,,0.0,,72.28619772535352,50.0,63.37171863521211,GOOD
1993-12-14,1993-12-22,DEFENSIVE,MODERATE,TLT,TQQQ,6,False,1.37488570415,,,1.37488570415,0.0,,0.016253464497120174,0.048113284690014524,0.04315916624988492,,,0.0,0.05331448495590929,,0.05331448495590929,100.0,58.631833249976985,83.4527332999908,EXCELLENT
1993-12-22,1994-04-04,MODERATE,AGGRESSIVE,TQQQ,TQQQ,69,False,1.43259950924,1.24206826698,1.72581280566,1.43259950924,0.0,-0.28029954181212735,0.014460375364075073,0.048416326421050204,0.07158711949748353,0.12233543036949324,0.17892834157536863,0.0,0.18334607507951972,-0.1629323110814639,0.18334607507951972,100.0,85.78566831507374,94.3142673260295,EXCELLENT
1994-04-04,1994-04-05,AGGRESSIVE,MODERATE,TQQQ,TQQQ,1,True,1.24206826698,1.37946802549,1.66904841578,1.24206826698,0.0,-0.17350029367163078,,,,,,0.0,0.0,-0.24630713107635072,0.0,100.0,,,EXCELLENT
1994-04-05,1994-05-17,MODERATE,DEFENSIVE,TQQQ,TLT,29,False,,1.0698128017,1.24246976459,,,-0.13896270783456433,,,,,,,,0.0,,72.20745843308714,50.0,63.32447505985228,GOOD
1994-05-17,1994-06-24,DEFENSIVE,MODERATE,TLT,TQQQ,27,False,1.0698128017,,,1.0698128017,0.0,,0.0668977349740758,0.08124939558759814,0.138214355151701,0.15575666115157127,0.13402592702401406,0.0,0.1873589309096788,,0.1873589309096788,100.0,81.15133223031425,92.46053289212571,EXCELLENT
1994-06-24,1994-07-15,MODERATE,DEFENSIVE,TQQQ,TLT,14,False,,1.09375279983,1.11182846269,,,-0.0162576004002154,,,,,,,,-0.06374475828618376,,96.74847991995692,62.74895165723675,83.14866861486885,EXCELLENT
1994-07-15,1994-08-24,DEFENSIVE,MODERATE,TLT,TQQQ,28,False,1.09375279983,,,1.02403179198,0.06808480790932503,,0.007257493659658332,-0.06374475828618376,-0.02106887326238771,0.016720639949760363,0.06811622250620042,-0.06374475828618376,0.06811622250620042,,0.06811622250620042,86.38303841813499,63.62324450124008,77.27912085137703,EXCELLENT
1994-08-24,1994-09-15,MODERATE,AGGRESSIVE,TQQQ,TQQQ,15,False,1.27179865522,1.44521567863,1.44521567863,1.27179865522,0.0,0.0,0.023100905178200515,0.07636909906403289,0.07049027706708189,0.08966336531490837,,0.0,0.10261198716822473,-0.17795911448580726,0.10261198716822473,100.0,67.93267306298168,87.17306922519268,EXCELLENT
1994-09-15,1994-10-28,AGGRESSIVE,MODERATE,TQQQ,TQQQ,30,False,1.44521567863,1.46204949348,1.46204949348,1.18802637622,0.21648450535947794,0.0,-0.019847689832144133,-0.0759693932632104,-0.09985358112555165,-0.11812017694260313,-0.07524650547874467,-0.17795911448580726,0.0,-0.11626827904805481,0.0,56.70309892810441,34.95069890425107,48.00213891856307,FAIR
1994-10-28,1994-11-22,MODERATE,AGGRESSIVE,TQQQ,TQQQ,16,False,1.46204949348,1.3001816914,1.45774957013,1.33620764054,0.09417836653676326,-0.10808981320155586,0.008349754679605859,-0.02278048142592204,-0.07689039763108241,-0.005860589588937315,,-0.0860722249836211,0.008349754679605859,-0.09500416805361578,0.008349754679605859,81.16432669264735,48.82788208221254,68.22974884847342,GOOD
1994-11-22,1995-01-13,AGGRESSIVE,MODERATE,TQQQ,TQQQ,35,False,1.3001816914,1.38773345441,1.38773345441,1.17665901149,0.10497746475725678,0.0,-0.006246954916934833,0.042917796427293986,0.04869773460032589,-0.024572374885235226,-0.017917559233521674,-0.09500416805361578,0.08326711762371164,-0.07065363018987358,0.08326711762371164,79.00450704854865,59.73954692006518,71.29852299715526,GOOD
1995-01-13,1995-05-30,MODERATE,AGGRESSIVE,TQQQ,TQQQ,93,False,1.38773345441,2.08222531577,2.37973697016,1.28968504812,0.07602507793117952,-0.1250187134631089,0.0461452605012147,0.05202363835113699,0.005595482421587583,-0.07065363018987358,0.12151707639828802,-0.07065363018987358,0.13800273413558495,0.0,0.13800273413558495,84.7949844137641,74.3034152796576,80.5983567601215,GOOD
1995-05-30,1995-06-20,AGGRESSIVE,MODERATE,TQQQ,TQQQ,15,False,2.08222531577,2.87915158251,2.87915158251,2.08222531577,0.0,0.0,0.036894530413290605,0.06481694717561859,0.0784225650477286,0.14280591864768444,,0.0,0.31633399389173333,-0.06897685030076406,0.31633399389173333,100.0,78.56118372953688,91.42447349181475,EXCELLENT
1995-06-20,1995-06-27,MODERATE,AGGRESSIVE,TQQQ,TQQQ,5,True,2.87915158251,2.68055677481,2.97757869156,2.81301494289,0.023510945004811434,-0.09975283527918644,-0.022970877956464797,0.025650493565058108,,,,-0.022970877956464797,0.03418615040900108,0.0,0.03418615040900108,95.29781099903771,,,EXCELLENT
1995-06-27,1995-07-11,AGGRESSIVE,MODERATE,TQQQ,TQQQ,9,False,2.68055677481,3.23831638,3.41110029104,2.68055677481,0.0,-0.050653424495859745,0.015412797515892418,0.056838601790405896,0.0873079412416431,,,0.0,0.27253424478643296,-0.10491257927985409,0.27253424478643296,100.0,67.46158824832861,86.98463529933144,EXCELLENT
1995-07-11,1995-09-26,MODERATE,DEFENSIVE,TQQQ,TLT,54,False,,3.28980363148,3.80410165066,,,-0.1351956562703236,,,,,,,,-0.18031976901099311,,72.96086874593529,86.06395380219863,78.20210276844062,GOOD
1995-09-26,1995-10-04,DEFENSIVE,MODERATE,TLT,TQQQ,6,False,3.28980363148,,,3.13622411274,0.048969561236433146,,-0.024044801401843396,0.016414567156309845,-0.04668349115746717,,,-0.04668349115746717,0.07303122205561974,,0.07303122205561974,90.20608775271337,40.663301768506564,70.38897335903064,EXCELLENT
1995-10-04,1995-10-12,MODERATE,DEFENSIVE,TQQQ,TLT,5,True,,3.08974702617,3.53006201101,,,-0.12473293201838676,,,,,,,,-0.02527327207327923,,75.05341359632266,55.05465441465584,67.05390992365594,GOOD
1995-10-12,1995-10-13,DEFENSIVE,MODERATE,TLT,TQQQ,1,True,3.08974702617,,,3.08974702617,0.0,,,,,,,0.0,0.0,,0.0,100.0,,,EXCELLENT
